tune_id,name,type,meter,mode,abc,date,username,mode_type,keynorm_features
20198,Hose A,polka,2/4,Amajor,"K: F#min
|:F>c BF|AF EF|F>c BF|fe cB|
F>c BF|AF EF|CF AD|FA EB:|
|:F>f ec|ec BG|F>f fa|gf ec|
F>f ec|ec BG|(3F/G/A/B GE|cB GE:|",2020-12-29 05:00:12,NfldWhistler,major,"[0.         0.         0.         0.         0.         0.
 0.01515152 0.01515152 0.         0.07575758 0.         0.24242424
 0.         0.07575758 0.07575758 0.         0.13636364 0.
 0.15151515 0.         0.         0.09090909 0.         0.09090909
 0.         0.01515152 0.01515152 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
830,Brian O'Lynn,jig,6/8,Bminor,"|:c|dBe dBA|F2 F ABc|dBe dBA|FBB B2c|
dBe dBA|F2F ABc|def gfe|dBBB2:|
|:f/g/|aba afe|dBc d2 e|fbb baf|baf e2f/g/|
aba afe|dBc def|gfe dBA|1 FBB B2:|2 FBB B3||",2019-01-05 15:30:57,Eubonian,minor,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.07368421 0.         0.
 0.06315789 0.         0.24210526 0.         0.06315789 0.13684211
 0.         0.11578947 0.         0.11578947 0.04210526 0.
 0.08421053 0.         0.06315789 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
18315,Gerald Campbell's,polka,2/4,Adorian,"|:eA AG/A/|BG Bd|eA Ad|G2 B/c/d|
eA AG/A/|BG Bd|ef/e/ dB|A2 A2:|
|:ea ab|ag ed|ef/e/ dB|AG/A/ Bd|
ea ab|ag ed|ef/e/ dB|A2 A2:|",2020-03-15 01:03:53,NfldWhistler,dorian,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.09090909 0.         0.21212121 0.         0.13636364 0.01515152
 0.         0.15151515 0.         0.1969697  0.         0.04545455
 0.03030303 0.         0.09090909 0.         0.03030303 0.
 0.         0.         0.         0.         0.         0.        ]"
45,"Humours Of Glendart, The",jig,6/8,Dmajor,"|:""D""BAF ADD|FEF DFA|BAF ADD|""A""FEE E2A|
""D""BAF ADD|FEF DFA|""G""dcB AFE|""D""FDD D2D:|
|:""Bm""def d2B|""G""ABA AFD|""Bm""def d2d|""A""ede fdB|
""Bm""def d2B|""G""dBA ABc|""A""dcB AFE|""D""FDD D2A:|",2023-04-06 00:32:50,Aaron Bergen,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.17777778 0.         0.07777778 0.
 0.16666667 0.         0.         0.18888889 0.         0.12222222
 0.         0.03333333 0.13333333 0.         0.05555556 0.
 0.04444444 0.         0.         0.         0.         0.        ]"
5667,Julia's,waltz,3/4,Gmajor,"D>C|:B,3C D>G|F4 D>E|=F2F>E F>G|D4D>C|
B,>D A,>D B,>D|A,3B, C/B,/A,|B,2 B,>A, B,>D|1 G,4D>C:|2 G,4G>A||
|:B3A G>F|D4 D>E|=F2F>E F>G|D4D>C|
B,>D A,>D B,>D|C3D E/D/C|B,2 B,>A, B,>D|1 G,4G>A:|2 G,4D>C||",2006-04-13 10:31:23,barrysmith90,major,"[0.         0.         0.05263158 0.         0.07894737 0.
 0.17105263 0.11842105 0.         0.27631579 0.         0.06578947
 0.02631579 0.07894737 0.07894737 0.         0.03947368 0.
 0.01315789 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
1751,Cork Hill,jig,6/8,Amajor,"|:AAA e2f|ecc e2f|AAA e2f|ecc c2B|
AAA e2f|ecc e2f|AAA d2f|ecc c2B:|
|:Ace aec|aec aec|Ace aec|aec c2B|
Ace aec|aec aec|AAA d2f|ecc c2B:|
|:AAA ecc|fdd ecc|AAA ecc|ecc c2B|
AAA ecc|fdd ecc|AAA d2f|ecc c2B:|
|:AAA acc|ecc acc|AAA acc|ecc c2B|
AAA acc|ecc acc|AAA d2f|ecc c2B:|",2015-01-02 00:00:23,piprgrl,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.24       0.         0.04571429 0.
 0.34857143 0.04571429 0.         0.18285714 0.         0.06285714
 0.         0.         0.07428571 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
7891,"Humours Of Glynn, The",jig,6/8,Aminor,"AcB AEE|EcB cEE|AcB AGE|DEG A2G|
AcB AEG|ced cGE|FAF EGE|DEG A3|
Gcc cGc|ceg gec|fed ecA|GEG A3|
Gcc cGc|ceg gec|f2d ecA|GEG AcA|
GEE cEE|GEc GEG|GEE cGE|DEG A3|
GEE cEE|GEc GEG|f2d ecA|GEG A2G|
Aaa gec|fed ecA|Aaa gec|fed e2A|
Aaa gec|fed ecA|f2d ecA|GEG A2G|",2014-11-15 11:11:12,JACKB,minor,"[0.         0.         0.         0.         0.         0.
 0.         0.01675978 0.         0.17877095 0.01117318 0.
 0.17877095 0.         0.1396648  0.         0.02234637 0.18994413
 0.         0.04469274 0.         0.10614525 0.03910615 0.
 0.03910615 0.         0.03351955 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
5332,"Bond Store, The",reel,4/4,Gmajor,"|:G B3 dBGB|c e3 dBGB|c e3 dBGB|AdBA AGED|G B3 dBGB|
c e3 dBGB|1 c e3 dBGB|AGFA G3 z:|2 cdeg dBGB|AGFA G3 z||
|:dgge edBe|d G3 AGEG|DGGD ED Bd|e2 ab agef|
gB3 G3B|c2 Bc AGED|Bdeg dBGB|AGFA G3 z:|",2008-03-14 06:30:55,bayswater,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.04347826 0.         0.03478261
 0.         0.02608696 0.20869565 0.         0.09565217 0.
 0.2173913  0.06086957 0.         0.13043478 0.         0.09565217
 0.         0.00869565 0.05217391 0.         0.0173913  0.
 0.00869565 0.         0.         0.         0.         0.        ]"
917,"Turnpike, The",reel,4/4,Gmajor,"|:GABG ABGE|D3E GABd|gfgd (3efg dB|cABG AGEF
GABG ABGE|D3E GABd|gfgd (3efg dB|cAFA G4:|
D2 FD ADFD|G2BG dGBG|A2^cA eA^cA|df f2 af f2|
gfgd (3efg dB|cBAB cdef|gfgd (3efg dB|=cAFA G2 (3DEF||",2013-11-27 17:33:43,JACKB,major,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.05833333 0.         0.05
 0.         0.05       0.13333333 0.         0.15       0.
 0.125      0.04166667 0.01666667 0.10833333 0.         0.05
 0.         0.10833333 0.1        0.         0.00833333 0.
 0.         0.         0.         0.         0.         0.        ]"
2295,"Humours Of Ayle House, The",jig,6/8,Dmixolydian,"FDE F2d|cAA BAG|FDE F2d|cAF ~G3|
FDE F2d|cAB cde|~f3 ded|1 cAF GAG:|2 cAF G2B||
|:cAA fed|cAG A2B|cAA fed|cAF GAB|
cAA fed|cAB cde|~f3 ded|1 cAF G2B:|2 cAF GAG||",2007-09-18 03:22:01,Dr. Dow,mixolydian,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.03125    0.         0.03125    0.
 0.125      0.10416667 0.         0.22916667 0.         0.07291667
 0.15625    0.         0.125      0.         0.07291667 0.
 0.05208333 0.         0.         0.         0.         0.        ]"
