tune_id,name,type,meter,mode,abc,date,username,num_measures,num_notes
6836,Boney's Retreat,hornpipe,4/4,Dmajor,"|:D3 E F3 G|A2 d2 AGF2|GFE2 FED2|e2 d2 cA3|
D3 E F3 G|A2 d2 AGF2|e2 f2 gfe2|d4 d4:|
|:d2 e2 f2 g2|a2 f2 dB A2|d2 e2 f3 e|d2 c2 B2 A2|
d2 e2 f2 g2|a2 f2 d2 B2|A2 f2 gf e2|d4 d4:|",2007-02-19 07:57:26,Ptarmigan,16.0,67.0
1126,"Munster Cloak, The",waltz,3/4,Dmajor,"|:D2 DE FD|E2 EF GA|D2 DE FA|G2 E2 A2|
D2 DE FD|E2 EF GE|A2 AB cA|1G2 E2 A2:|2G2 E2 c2||
|:d2 de dc|A2 d2 e2|f2 e2 d2|c2 d2 e2|
f2 e2 d2|c2 AB cA|AG EA GE|E2 D2 D2:||",2024-08-08 23:19:19,JACKB,17.0,70.0
791,Father Kelly's,reel,4/4,Gmajor,"|:GA|B2 GB AGEG|DGGF GABG|c2 AB cBAG|EAAG FDGA|
B2 GB AGEG|DGGF GABd|cdef gdBd|cAFA G2:|
|:Bc|d2 Bd gdBd|~d2 Bd gdBd|e2 ce agfe|defg agfe|
d2 Bd gdBd|~d2 Bd gdBd|cedc BDGB|ADFA G2:|",2014-04-20 16:03:28,Lucy Rietmann,18.0,118.0
11682,Coolderry Bridge,reel,4/4,Dmajor,"FE|:DA,A,2 DEFB|BAFA dcdf|feef eBBA|G2FG EGFE|
DA,A,2 DEFB|BAFA dcdB|AFdF AFBF|1 AFEG FDDE:|2 AFEG FDDg||
fddA (3Bcd Ad|(3Bcd ef afgf|feef eBBA|G2FG Eage|
fdd2 Add2|gfed BdAB|AFdF AFBF|AFEG FDDg|
fddA (3Bcd Ad|(3Bcd ef afgf|feef eBBA|G2FG E2 FE|
DA,A,2 DEFA|BAFA dcdB|AFdF AFBF|AFEG FDD2||",2013-10-08 02:10:49,Dr. Tøm,26.0,196.0
15055,Cider Street,reel,4/4,Gmixolydian,"|:G2 dc BGDG|EDCE FAcA|GABd cABG|FGDE F2 dc|
G2 dc BGDG|EDCE FAcA|dAAB cABG|FDCF G2 G2:|
A2 ed cAAA|GABc AEEE|D2 CD EGGG|cdec Afed|
A2 ed cA A2|GABc AEEE|D2 CD EGGG|cdec A2 f2|
e4 cA A/A/A|GABc AEEE|D2 CD EGGG|cAeA fAcA|
e4 cA A/A/A|GABc AEEE|D2 CD EGGG|cdec A4||",2023-06-21 08:41:49,Nigel Gatherer,24.0,171.0
291,Maggie In The Woods,polka,2/4,Gmajor,"|:Gd G>A|Be- e/f/g/e/|dB AG/A/|BA- AB/A/|
Gd G>A|Be- e/f/g/e/|dB AB|G3 z:|
|:gf ed|e<f g>e|dB AG/A/|BA- AB/d/|
gg/f/ ed|ef gg/e/|dB AB|GG G2:|",2021-11-06 10:16:22,Nigel Gatherer,16.0,70.0
17052,Arrochar Bridge,reel,4/4,Amajor,"|:B,|A,2ef edc2|FGAB AGFD|E2ef edcA|BcdB cAA:|
|:g|abae c/c/c e=g|fdfa f2f/f/f|efae fbec|BABc A/A/A A:|",2022-06-09 14:29:43,gmaner,10.0,63.0
6443,"Johnstown, The",reel,4/4,Bminor,"BF F2 AFEF|BF F2 (3Bcd eg|f2 df ecde|1 fd (3Bcd cAFA:|2 fdcd B3A||
E2 EF Gdcd|D2 FD ADFD|E2 EF Ggfg|1 efde (3Bcd AF:|2 efdB e4||",2018-04-02 18:44:13,Philip W,10.0,72.0
738,"Bunny's Hat, The",reel,4/4,Bminor,"|:FABF cBAF|BcdB fedB|FABF ~A3 F|EF~F2 AB ~B2|
FABF cBAF|BcdB fedB|FABd cA ~A2|fdec B4:|
|:FBde f2 ~ff|f2 ~ff edBA|FBde f2 ~ff|edBA B4|
FBde f2 ~ff|afff bafe|dB~BB cA~AA|fdec B4:|",2007-08-14 18:08:46,Jeffery,16.0,110.0
1775,"Cat And The Mountain Squirrel, The",reel,4/4,Bminor,"F2|:""Bm""B2 cd BcdB|""Bm""cdBc dBcB|""A"" A2 ce a2 gf|""A"" efec BAFE|
""Bm""B2 cd BcdB|""Bm""cdBc ""E7""dBcB|""A"" A2 ce afec|""F#m""BAdc ""Bm""B2 dc:|
|:""Bm"" Bbbf ""C#/A7""a2 fe|""D""defg ""E7""afed|""A""BAcB A2 ce|""C#/A""afec ""Cdim""BAdc|
""Bm""Bbbf a2 fe|""Bm""defg ""E7""abaf|""A""feaf efec|""A""BAdc ""Bm""B2 dc:|
|:""Bm""BffB d2 cd|""Bm""cdBc dBcB|""A""AeeA c2 Bc|""A""AecA ""F#m""BAdc|
""Bm""BffB d2 cd|""Bm""cdBc dBcB|""A""A2 ce afec|""A""BAdc ""Bm"" B4:|
|:""Bm""Bbbf ""(C#/A7)""a2^ga|""Bm (D)""Bbbf ""E7""afec|""A""BAcB A2ce|""A (C#/A)"" afec ""F#m (Cdim)"" BAdc|
""Bm"" Bbbf a2 ^ga|""Bm (A#/Bm)"" Bbbf ""E7 (A/Bm)"" abaf|""A (G#/Bm)""feaf ""G""efec|1 ""A"" BAdc ""Bm""B4:|2 ""F#7""BAdc ""Bm""B2||",2003-06-23 04:27:04,fifer,,
